period_cat,V1,V2,V3,V4,V5,V6,V7
3,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,MIT_CovidAnalytics-DELPHI
3,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,UNIPV-BayesINGARCHX,itwm-dSEIR,MIT_CovidAnalytics-DELPHI
3,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,RobertWalraven-ESG,epiforecasts-EpiNow2,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,itwm-dSEIR,MIT_CovidAnalytics-DELPHI
3,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,itwm-dSEIR
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,itwm-dSEIR
3,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
3,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,MUNI-ARIMA,UNIPV-BayesINGARCHX,itwm-dSEIR
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,ILM-EKF,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
3,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
3,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,itwm-dSEIR
3,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MUNI-ARIMA
3,CovidMetrics-epiBATS,ILM-EKF,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MUNI-ARIMA,itwm-dSEIR
3,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,itwm-dSEIR
3,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
3,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,UNIPV-BayesINGARCHX,itwm-dSEIR
3,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,RobertWalraven-ESG,itwm-dSEIR
3,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG
3,FIAS_FZJ-Epi1Ger,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,Karlen-pypm,epiforecasts-EpiNow2
3,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX
3,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,itwm-dSEIR,MIT_CovidAnalytics-DELPHI
3,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,MIT_CovidAnalytics-DELPHI
3,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MUNI-ARIMA,epiforecasts-EpiNow2,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2
3,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,epiforecasts-EpiNow2,itwm-dSEIR,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,itwm-dSEIR
3,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,RobertWalraven-ESG
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MUNI-ARIMA
3,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,MIT_CovidAnalytics-DELPHI
3,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,epiforecasts-EpiNow2,itwm-dSEIR
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,RobertWalraven-ESG,epiforecasts-EpiNow2
3,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,UNIPV-BayesINGARCHX,itwm-dSEIR,MIT_CovidAnalytics-DELPHI
3,FIAS_FZJ-Epi1Ger,ILM-EKF,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX,itwm-dSEIR,MIT_CovidAnalytics-DELPHI
3,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2
3,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX
3,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,IEM_Health-CovidProject,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,ITWW-county_repro,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,ILM-EKF,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2
3,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG
3,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX
3,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,epiforecasts-EpiNow2,itwm-dSEIR,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,itwm-dSEIR,MIT_CovidAnalytics-DELPHI
3,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2
4,EuroCOVIDhub-baseline,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,MUNI-ARIMA,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,RobertWalraven-ESG,itwm-dSEIR
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,itwm-dSEIR
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,itwm-dSEIR
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI
4,CovidMetrics-epiBATS,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG
4,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,ILM-EKF,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX,itwm-dSEIR
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA
4,CovidMetrics-epiBATS,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX
4,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG
4,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX
4,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,itwm-dSEIR
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG
4,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,itwm-dSEIR
4,CovidMetrics-epiBATS,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,itwm-dSEIR
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,MUNI-ARIMA,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,ILM-EKF,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,itwm-dSEIR
4,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ILM-EKF,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG
4,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,EuroCOVIDhub-baseline,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,RobertWalraven-ESG,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA
4,HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG
4,EuroCOVIDhub-baseline,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,itwm-dSEIR
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,itwm-dSEIR
4,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX
