period_cat,V1,V2,V3,V4,V5
3,EuroCOVIDhub-baseline,IEM_Health-CovidProject,MUNI-ARIMA,epiforecasts-EpiNow2,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG
4,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG
4,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI
4,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,itwm-dSEIR
4,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,UNIPV-BayesINGARCHX,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA
4,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,MUNI-ARIMA,itwm-dSEIR
4,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,ITWW-county_repro,UNIPV-BayesINGARCHX,itwm-dSEIR
4,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG
4,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI
4,EuroCOVIDhub-baseline,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX
4,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI
4,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,IEM_Health-CovidProject,ITWW-county_repro,MUNI-ARIMA,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ITWW-county_repro,UNIPV-BayesINGARCHX
4,FIAS_FZJ-Epi1Ger,ILM-EKF,Karlen-pypm,MUNI-ARIMA,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG
4,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,RobertWalraven-ESG,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,Karlen-pypm,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,itwm-dSEIR
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI
4,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,MUNI-ARIMA,UNIPV-BayesINGARCHX,itwm-dSEIR
4,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI
4,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI
4,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,RobertWalraven-ESG
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG
4,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,RobertWalraven-ESG,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,Karlen-pypm,UNIPV-BayesINGARCHX
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,Karlen-pypm
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,RobertWalraven-ESG
4,CovidMetrics-epiBATS,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,itwm-dSEIR
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,MUNI-ARIMA
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm
4,HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG
4,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX
4,EuroCOVIDhub-baseline,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI
4,ILM-EKF,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ITWW-county_repro,RobertWalraven-ESG
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,ILM-EKF,Karlen-pypm,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,MUNI-ARIMA
4,EuroCOVIDhub-baseline,IEM_Health-CovidProject,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,itwm-dSEIR
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,itwm-dSEIR
4,EuroCOVIDhub-baseline,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,itwm-dSEIR
4,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,MIT_CovidAnalytics-DELPHI,itwm-dSEIR
4,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,UNIPV-BayesINGARCHX,itwm-dSEIR
4,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,itwm-dSEIR
4,EuroCOVIDhub-baseline,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro
4,EuroCOVIDhub-baseline,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ITWW-county_repro,MUNI-ARIMA,UNIPV-BayesINGARCHX
4,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG
4,FIAS_FZJ-Epi1Ger,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,RobertWalraven-ESG
4,CovidMetrics-epiBATS,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG
4,CovidMetrics-epiBATS,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA
4,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ILM-EKF,itwm-dSEIR
4,CovidMetrics-epiBATS,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,UNIPV-BayesINGARCHX
4,ILM-EKF,ITWW-county_repro,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA
4,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ILM-EKF,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ITWW-county_repro,Karlen-pypm,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,itwm-dSEIR
4,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,itwm-dSEIR
4,FIAS_FZJ-Epi1Ger,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,itwm-dSEIR
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,Karlen-pypm,RobertWalraven-ESG
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,RobertWalraven-ESG,UNIPV-BayesINGARCHX
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,MUNI-ARIMA
4,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,MUNI-ARIMA
4,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro
4,FIAS_FZJ-Epi1Ger,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG
4,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ITWW-county_repro,RobertWalraven-ESG,itwm-dSEIR
4,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro
5,IEM_Health-CovidProject,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,ILM-EKF
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,epiforecasts-EpiNow2,ILM-EKF
5,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ITWW-county_repro,epiforecasts-EpiNow2
5,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG,itwm-dSEIR,ILM-EKF
5,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,RobertWalraven-ESG,itwm-dSEIR
5,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,RobertWalraven-ESG,itwm-dSEIR,ILM-EKF
5,CovidMetrics-epiBATS,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG,ILM-EKF
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro
5,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG,ILM-EKF
5,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG,epiforecasts-EpiNow2
5,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,itwm-dSEIR,ILM-EKF
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,itwm-dSEIR
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,ILM-EKF
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,RobertWalraven-ESG
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,itwm-dSEIR
5,CovidMetrics-epiBATS,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG,epiforecasts-EpiNow2
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,RobertWalraven-ESG,epiforecasts-EpiNow2
5,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,RobertWalraven-ESG,epiforecasts-EpiNow2
5,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,epiforecasts-EpiNow2,ILM-EKF
5,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,itwm-dSEIR,ILM-EKF
5,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,RobertWalraven-ESG,epiforecasts-EpiNow2,ILM-EKF
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG
5,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,RobertWalraven-ESG,itwm-dSEIR
5,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG,itwm-dSEIR
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR
5,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,RobertWalraven-ESG,itwm-dSEIR,ILM-EKF
5,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG,itwm-dSEIR
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,itwm-dSEIR,ILM-EKF
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,RobertWalraven-ESG,ILM-EKF
5,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG,epiforecasts-EpiNow2
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ITWW-county_repro,ILM-EKF
5,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ITWW-county_repro,epiforecasts-EpiNow2,ILM-EKF
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,RobertWalraven-ESG,ILM-EKF
5,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,itwm-dSEIR,ILM-EKF
5,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,epiforecasts-EpiNow2,itwm-dSEIR
5,CovidMetrics-epiBATS,IEM_Health-CovidProject,RobertWalraven-ESG,itwm-dSEIR,ILM-EKF
5,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,RobertWalraven-ESG,itwm-dSEIR,ILM-EKF
5,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,RobertWalraven-ESG,itwm-dSEIR
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,epiforecasts-EpiNow2,itwm-dSEIR
5,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,itwm-dSEIR,ILM-EKF
5,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG
5,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,epiforecasts-EpiNow2,ILM-EKF
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,epiforecasts-EpiNow2
5,CovidMetrics-epiBATS,IEM_Health-CovidProject,epiforecasts-EpiNow2,itwm-dSEIR,ILM-EKF
5,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG
5,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG,epiforecasts-EpiNow2,ILM-EKF
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,ILM-EKF
5,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,RobertWalraven-ESG,ILM-EKF
5,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,epiforecasts-EpiNow2,itwm-dSEIR
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,RobertWalraven-ESG
5,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,epiforecasts-EpiNow2
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,itwm-dSEIR
5,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,RobertWalraven-ESG,itwm-dSEIR
5,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,RobertWalraven-ESG,epiforecasts-EpiNow2
5,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,epiforecasts-EpiNow2,ILM-EKF
5,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ITWW-county_repro,itwm-dSEIR,ILM-EKF
5,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,epiforecasts-EpiNow2,ILM-EKF
5,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,epiforecasts-EpiNow2,itwm-dSEIR,ILM-EKF
5,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,epiforecasts-EpiNow2,ILM-EKF
5,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,ITWW-county_repro,epiforecasts-EpiNow2,itwm-dSEIR
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,RobertWalraven-ESG
5,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG
5,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,itwm-dSEIR
5,IEM_Health-CovidProject,ITWW-county_repro,epiforecasts-EpiNow2,itwm-dSEIR,ILM-EKF
5,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,RobertWalraven-ESG,epiforecasts-EpiNow2,ILM-EKF
5,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,RobertWalraven-ESG,epiforecasts-EpiNow2,ILM-EKF
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ITWW-county_repro,itwm-dSEIR
5,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,RobertWalraven-ESG,itwm-dSEIR
5,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,epiforecasts-EpiNow2,ILM-EKF
5,CovidMetrics-epiBATS,IEM_Health-CovidProject,ITWW-county_repro,epiforecasts-EpiNow2,ILM-EKF
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,RobertWalraven-ESG
5,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,epiforecasts-EpiNow2,itwm-dSEIR,ILM-EKF
5,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,RobertWalraven-ESG,itwm-dSEIR
5,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,ILM-EKF
5,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,epiforecasts-EpiNow2
5,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,RobertWalraven-ESG,ILM-EKF
5,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,epiforecasts-EpiNow2
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ITWW-county_repro,RobertWalraven-ESG,ILM-EKF
5,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,ILM-EKF
5,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,ILM-EKF
5,CovidMetrics-epiBATS,ITWW-county_repro,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,RobertWalraven-ESG,itwm-dSEIR,ILM-EKF
5,CovidMetrics-epiBATS,IEM_Health-CovidProject,ITWW-county_repro,itwm-dSEIR,ILM-EKF
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,IEM_Health-CovidProject,RobertWalraven-ESG,epiforecasts-EpiNow2
5,ITWW-county_repro,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,ILM-EKF
5,CovidMetrics-epiBATS,IEM_Health-CovidProject,RobertWalraven-ESG,epiforecasts-EpiNow2,ILM-EKF
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,epiforecasts-EpiNow2,itwm-dSEIR
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,ILM-EKF
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG
5,FIAS_FZJ-Epi1Ger,ITWW-county_repro,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR
5,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR
5,CovidMetrics-epiBATS,ITWW-county_repro,RobertWalraven-ESG,itwm-dSEIR,ILM-EKF
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,RobertWalraven-ESG,itwm-dSEIR
5,CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,itwm-dSEIR
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,RobertWalraven-ESG,itwm-dSEIR,ILM-EKF
5,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,itwm-dSEIR
5,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,epiforecasts-EpiNow2,itwm-dSEIR
6,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,itwm-dSEIR
6,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,RobertWalraven-ESG,itwm-dSEIR
6,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,MUNI-ARIMA
6,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro
6,CovidMetrics-epiBATS,IEM_Health-CovidProject,epiforecasts-weeklygrowth,itwm-dSEIR,MUNI-ARIMA
6,CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,ILM-EKF,RobertWalraven-ESG,itwm-dSEIR
6,CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,RobertWalraven-ESG,MUNI-ARIMA
